Gene Name	SRR867740	SRR867737	SRR867735	SRR867739	SRR867736	SRR867738
PRXL2C	432	281	295	234	343	271
XDH	28	13	18	15	24	19
XKR8	106	79	86	72	92	91
CNNM4	357	342	312	180	401	327
EYA3	1143	747	639	596	949	819
DZIP1L	492	388	333	239	420	353
TMSB15A	48	16	11	19	21	29
FANCC	556	382	375	268	416	423
MRAS	552	542	498	301	589	383
WASF2	1483	946	1084	718	1224	1183
ABHD3	1117	687	643	599	920	756
ESYT3	77	62	47	35	59	67
FAIM	767	617	684	382	947	465
TENT5B	387	563	583	190	582	280
CLSTN2	7	10	10	4	6	9
COLEC12	0	6	0	0	0	0
RNF207	419	330	317	238	316	410
CUL4B	5352	3929	4329	2625	4749	3405
GPR153	184	104	95	102	133	173
SLC13A3	5	5	7	4	5	5
GPRASP2	207	157	128	106	177	119
RHBDL2	48	41	28	22	37	37
AUTS2	565	226	213	258	258	458
SHROOM4	0	5	0	0	0	1
H2BC5	3584	3034	2668	1722	3424	2497
CDC25C	596	400	410	268	494	399
H4C8	2036	2349	1873	1045	2270	1539
MITD1	684	419	428	384	512	469
EIF5B	1368	878	1389	706	1006	993
RIBC1	141	50	52	56	54	78
CATIP	0	5	1	0	0	4
CNOT11	804	567	707	462	749	611
KCNB1	9	19	0	5	6	10
TSPAN33	93	63	57	41	76	55
NRG2	6	3	0	3	2	3
AHCYL2	849	516	446	452	667	585
B4GALT5	3258	1761	1714	1784	2352	2607
CD1D	0	1	0	0	1	0
CD1A	0	2	0	0	0	0
SPATA2	339	263	282	168	336	302
CD1C	1	0	0	0	0	0
SNX29P1	0	1	0	0	2	0
FAM86C1P	91	106	100	49	121	71
CD1B	0	1	0	0	0	0
DNAH3	15	15	12	5	4	12
CD1E	0	1	0	0	0	0
HMHB1	0	0	0	0	0	0
CPA2	11	19	15	2	13	9
NCF1	0	0	0	1	0	0
CPA5	7	8	5	3	5	2
TSR2	871	570	685	489	623	628
PPP1R9A	638	238	241	313	328	434
ZC3H18	721	587	828	371	596	583
ZFAND2B	650	367	357	343	405	494
POM121L2	0	0	0	0	0	0
GDPD5	560	357	307	240	411	407
DYNC1I1	15	14	12	12	20	10
PFKFB1	2	1	0	2	0	1
ALAS2	0	1	1	0	2	2
TMED4	3259	2423	2437	1812	3090	2498
PPP1R15B	4848	3283	3666	2350	4049	3188
COPG2	816	590	550	380	755	513
EMSY	1292	735	721	694	1030	953
PAGE5	0	0	0	0	0	0
GPAT4	1677	1313	1344	870	1386	1219
PKD1L1	21	19	15	20	12	10
ZSCAN12	729	432	472	356	559	479
TAGLN2	13332	9657	10543	6856	10866	10324
ELK4	2390	1218	1259	1272	1708	1620
SLAMF8	0	0	0	0	0	0
SLC45A3	107	128	120	55	140	79
DUSP23	518	433	404	313	410	419
RNF166	298	242	211	166	304	191
OR10J6P	0	0	0	3	1	2
NBL1	1091	872	1031	596	1033	848
HTR6	0	3	1	0	0	2
ITLN2	0	0	0	0	0	0
F11R	211	73	72	101	89	156
USF1	2717	1782	1604	1421	1852	1964
PLA2G2F	0	5	1	0	0	0
SPATA2L	144	99	109	82	115	109
NIT1	683	473	436	320	548	440
DEDD	759	491	561	407	612	550
ZNF276	350	256	265	181	250	285
NPM2	9	1	0	1	2	2
EDA	8	9	8	2	10	5
FGF17	3	2	0	0	0	1
VWA5B1	0	6	0	0	1	1
CDA	2803	1947	2167	1311	2463	1988
PINK1	1727	1241	1270	894	1441	1227
B4GALT3	707	683	738	389	836	580
DMTN	47	16	11	25	22	56
ADAMTS4	38	25	19	15	26	22
FAM160B2	485	275	250	265	296	395
NDUFS2	2808	2487	2294	1446	2904	2074
SLC5A11	8	7	4	5	6	2
FCER1G	0	5	4	1	6	2
APOA2	1	0	0	0	0	0
TOMM40L	551	516	484	255	581	411
MPZ	29	19	28	10	33	23
WFDC8	0	0	0	0	0	0
CCAR2	2046	1523	1759	973	1701	1507
WNT9B	0	3	0	0	0	0
CACHD1	696	561	528	327	632	467
CDC42SE2	1513	915	1080	757	1284	887
RAPGEF6	374	238	207	196	279	213
EPB41	2114	1355	1405	1074	1629	1471
MIS18A	386	279	289	205	336	248
ALG8	1602	1247	1277	818	1669	1155
FBXW5	5213	3912	3527	2859	4293	4127
CFAP298	263	199	256	155	225	169
SYNJ1	427	204	220	232	345	296
PAXBP1	924	623	569	501	728	637
IFNAR2	26	14	11	10	19	18
MRPL10	1109	953	894	553	1205	859
IFNGR2	700	524	521	374	616	459
GART	3522	3126	3139	1839	3627	2451
SON	4732	3348	3454	2346	3810	3460
DONSON	1069	721	743	595	997	751
SV2A	205	194	221	95	230	161
LAD1	1	2	2	1	1	1
STC1	4	2	1	1	0	2
TNNI1	0	10	0	0	0	0
CSRP1	12852	12025	11967	6345	14098	9176
PRAC1	0	1	0	0	0	0
HOXB13	73	47	38	30	59	55
ATP5POP1	0	0	0	1	0	0
C1QC	0	1	0	0	0	0
KCNE2	0	1	1	0	4	1
ATP5MC1	1496	1726	1714	797	2073	1089
RCAN1	825	591	549	406	610	549
UBE2Z	4367	3443	3493	2252	4052	3236
CIART	29	10	13	9	14	20
SNF8	1596	1363	1580	926	1400	1224
CLIC6	2	3	0	0	3	0
CCDC24	159	70	85	78	102	102
RUNX1	534	366	348	237	439	359
IGF2BP1	2734	1618	1665	1447	2048	2086
GIP	23	8	16	20	18	17
CBR1	3540	2768	2773	1930	2959	2615
CBR3	146	124	122	112	119	118
TUBBP5	1	2	0	0	2	1
GJD2	2	1	0	0	0	0
ACTC1	4776	5332	5173	2520	6185	3479
MORC3	1190	707	681	565	909	776
CHAF1B	932	679	762	514	819	674
CLDN14	20	22	18	12	20	17
SIM2	458	296	318	204	262	306
HLCS	577	393	399	281	493	445
GOLGA6A	0	0	0	0	0	0
SCUBE1	7	17	8	1	8	6
ARHGAP27	202	187	176	126	218	171
ADPGK	1681	1650	1489	880	2041	1161
PTMS	5536	5249	6395	3072	5572	4765
PLA2G4D	0	6	0	1	0	0
PADI4	4	2	1	0	1	0
ADIPOR1	4132	2551	2626	2125	3547	2812
CYB5R1	1093	801	773	519	892	791
PSMD4	3354	3118	2977	1663	3256	2461
ATP13A2	1473	635	623	730	682	1089
M1AP	17	6	9	7	13	13
PSMB4	4962	4974	4669	2674	5728	3598
IRX6	2	4	4	2	2	2
BTG2	610	257	269	292	354	442
CES5A	0	0	0	0	0	1
HK2	917	559	724	447	535	669
C1R	6503	2610	2890	3407	2782	4981
CELF3	5	5	0	2	2	7
ALDH4A1	79	50	50	47	67	62
STARD9	635	359	353	304	440	507
THEM4	262	195	217	134	224	218
TCHH	1	2	1	0	0	3
LCE2B	0	0	0	0	0	0
UBR1	2894	2069	1935	1453	2557	1871
AMFR	2051	1703	1517	1114	1900	1514
MED8	1806	1337	1224	904	1567	1231
TGM7	2	1	0	0	0	0
RGL4	31	16	16	10	11	28
SPRR2G	0	0	0	0	0	0
PGLYRP3	0	1	0	0	0	0
ISL2	72	84	75	51	84	92
RSPRY1	1126	698	736	612	869	767
CCDC17	22	21	10	15	20	34
GPBP1L1	3134	1890	1970	1647	2595	2273
NAE1	1887	1392	1400	946	1619	1171
TMEM69	828	591	592	414	835	578
ADGRG5	6	7	4	2	1	8
DRC7	1	4	2	2	1	0
ACE	1	5	0	1	0	1
TEPP	2	0	0	2	3	0
UROC1	2	9	3	1	5	2
EFCAB14	3905	2074	2245	1999	2881	2754
SPON2	69	57	39	41	36	59
CHCHD6	198	210	180	122	189	159
CTBP1	2949	2256	2417	1558	2542	2247
LRRC36	0	3	0	0	0	0
ANKRD18CP	36	14	15	12	11	20
TPPP3	19	5	8	15	17	18
ZDHHC1	28	12	15	14	9	20
ATP6V0D1	2054	1554	1314	1011	1865	1548
AGRP	10	1	1	3	0	5
ZFYVE28	469	205	230	258	252	322
CARMIL2	36	33	23	15	18	32
C16orf86	8	2	2	3	4	11
PIP	1	2	0	0	1	0
FAM131B	12	15	12	5	14	8
RGS12	391	207	221	210	213	314
PSKH1	275	156	162	155	161	223
ZYX	1863	1804	2225	948	2339	1473
ABR	1766	1382	1324	820	1467	1338
TCAF2P1	0	0	0	0	0	0
LYPD5	62	32	20	31	33	36
CCDC117	1435	775	913	717	1023	950
ZNF230	337	201	175	193	240	237
CCDC107	122	106	110	56	103	85
ZNF222	146	111	75	73	120	111
NPR2	126	80	61	53	73	76
ZNF890P	1	3	3	2	3	4
ZNF221	305	184	159	117	174	200
ZNF233	57	41	40	28	44	41
ZNF235	195	168	138	120	203	158
GNE	2278	1748	1636	1266	1982	1683
TNFRSF13C	4	4	5	2	2	5
OR3A3	0	2	0	0	0	0
ARHGAP35	4912	3567	4171	2374	3666	3941
PTGIR	14	10	4	6	8	14
CALM3	5154	4202	4595	2799	4910	4252
DFFA	1754	1507	1440	925	1716	1284
CCDC28B	291	212	203	207	175	217
IQCC	112	90	73	77	74	98
TMEM234	365	261	232	222	294	270
BSDC1	2881	1690	1619	1478	2231	2084
ZBTB8A	313	156	183	167	225	220
ATAD3B	2304	1928	2038	1367	2014	1846
SSU72	1695	1212	1474	843	1422	1287
UBE2J2	999	806	936	518	910	737
ZNF362	450	266	338	267	327	368
FNDC5	19	12	16	10	12	17
CPAMD8	20	14	4	8	11	9
NR2F6	1698	1070	1244	925	1270	1364
ANKLE1	142	80	90	77	95	160
MIX23	263	412	428	127	481	155
VMA21	4077	2605	2817	2190	3235	2733
KALRN	120	109	85	68	112	106
CILP2	12	9	3	11	5	9
FAM86C2P	35	20	27	26	34	28
ABCG1	255	67	62	131	97	185
TFF3	0	0	0	0	0	0
TFF2	0	1	0	0	0	0
TFF1	0	0	0	0	0	0
TMPRSS3	713	370	354	351	401	485
UBASH3A	0	1	1	0	0	0
RSPH1	0	3	1	0	0	4
SLC37A1	243	129	134	122	137	182
PDE9A	0	7	0	0	0	0
WDR4	404	450	391	207	503	320
NDUFV3	951	899	809	532	930	700
PKNOX1	366	292	232	211	307	273
CBS	75	65	61	41	71	70
U2AF1	11	1	0	1	8	3
CRYAA	0	0	0	0	0	0
HSF2BP	50	41	48	31	47	42
RRP1B	2161	1994	2247	1105	2591	1545
PDXK	8718	8009	7957	4331	8775	6432
G6PD	7415	4530	4856	3554	4753	6033
CSTB	1347	1158	1080	658	1268	1037
RRP1	1120	1180	1235	585	1087	841
AGPAT3	2274	1749	1919	1125	2296	1764
TRAPPC10	994	751	704	461	902	739
GAB3	54	16	19	23	25	26
GATD3A	23	15	13	11	14	16
ICOSLG	0	3	0	0	2	2
AIRE	3	6	3	10	4	7
CFAP410	74	43	44	39	37	57
ZNF66	28	14	14	27	23	24
LRRC3	97	73	84	61	95	77
ITGB2	9	14	10	4	6	12
FAM207A	363	404	434	232	342	268
RALGDS	274	149	125	151	158	215
FTCD	2	3	0	1	1	1
SPATC1L	43	35	48	26	37	34
LSS	5860	5621	5334	3086	5896	4562
VAV2	1397	910	1009	757	906	1084
MCM3AP	1607	1293	1418	762	1447	1252
C21orf58	562	267	235	287	323	473
PCNT	1847	1292	1436	994	1250	1560
DIP2A	841	645	571	447	655	671
S100B	0	2	0	1	1	1
PRMT2	1844	1447	1478	902	1659	1284
CLDND2	26	8	5	10	15	15
ZNF208	2	2	2	2	1	1
ADAMTS13	35	19	7	14	10	34
CACFD1	363	159	155	187	194	314
SLC2A6	1007	909	937	551	1059	756
ZNF761	623	302	307	306	390	460
FCN2	0	0	0	0	0	0
C9orf116	66	71	99	52	94	68
LCN1	0	0	0	0	0	0
ZNF714	684	464	521	413	621	515
GPSM1	844	605	672	451	600	725
C19orf47	573	403	505	300	494	443
HIPK4	0	1	3	4	1	0
CFAP157	124	106	118	71	111	104
TOR2A	209	132	128	110	195	183
ST6GALNAC6	45	23	18	18	23	35
SHKBP1	1705	1006	1069	844	1101	1283
RDH13	265	164	145	144	167	197
ZER1	1376	734	788	644	846	1082
ZDHHC12	1087	903	965	501	1159	856
PKN3	1420	1144	1079	709	1234	1100
SPTBN4	9	12	7	5	4	7
BRSK1	82	45	35	38	61	66
COX6B2	42	11	12	18	11	47
TMEM190	9	4	2	2	4	10
NLRP4	0	3	0	0	1	0
PLPP7	1	11	0	2	1	5
TAOK1	5898	3821	3973	3000	5091	4007
MED27	604	613	511	308	628	423
DEDD2	885	613	649	474	751	748
SIK3	849	590	576	396	783	643
MPZL3	112	87	78	60	112	60
JAML	1	10	0	0	0	0
NEK8	158	86	73	75	78	105
TLCD1	309	341	259	183	324	266
PCSK7	739	717	638	374	639	617
SAFB	865	769	1100	487	641	720
CD3G	0	0	0	0	0	0
S100A1	45	32	37	25	25	42
CHTOP	1419	1053	1205	737	1055	1052
CXCR5	0	0	0	0	0	1
ZBTB7B	3476	2279	2404	1909	2460	2974
FLAD1	1540	1198	1171	803	1417	1210
SHC1	7293	4881	5400	3751	5866	5237
VPS11	814	517	449	405	544	588
NLRX1	343	226	241	175	247	246
ADAR	32192	23107	22618	15743	27827	23640
IL6R	47	36	31	9	49	30
UBE2Q1	1928	1696	1676	970	2091	1455
CHRNB2	104	45	49	54	57	80
CRTC2	678	521	533	413	592	594
ANO10	1171	974	937	620	1249	859
FDPS	4407	4063	3875	2061	4201	3011
RUSC1	1727	1231	1330	959	1596	1289
GBAP1	127	125	104	59	121	90
FAM189B	277	261	307	139	291	233
PAQR6	53	28	27	21	43	40
PMF1	730	574	639	409	858	559
SLC25A44	983	854	799	549	999	800
LMNA	30144	28711	30142	16879	26769	24215
CCR5	0	1	0	0	0	0
NBEAL2	993	891	781	455	961	813
CCDC12	861	829	886	513	642	685
PTH1R	2	3	0	0	1	0
UBQLN4	686	615	629	337	701	512
MYL3	0	0	0	1	0	0
PPP1R35	217	170	163	132	183	179
GPATCH4	1266	1570	1814	722	1508	1151
LRRC71	3	2	1	3	6	9
FCRL3	0	4	0	0	0	1
AZGP1	0	1	0	0	0	0
FGFR4	110	151	122	75	166	86
CYP3A4	0	4	0	0	0	0
CYP3A7	0	0	0	0	1	1
NACC1	3382	2531	2708	1748	2895	2716
CYP11B1	0	1	0	0	0	0
HK3	4	2	1	1	0	0
LY6K	2270	2599	2812	1187	2439	1692
IER2	991	632	784	536	577	849
ZNF394	837	575	615	454	596	586
CPSF4	683	527	550	370	599	545
LY6E	15954	7840	8134	8549	9382	12996
VPS28	1200	711	754	573	861	882
TONSL	1174	908	895	620	889	970
PTGER1	6	1	3	5	1	8
PWWP3A	707	525	512	370	509	518
RECQL4	1749	1209	1188	999	1139	1514
LRRC14	1245	940	827	636	1085	1036
ZNF333	304	185	180	139	184	180
COL26A1	7	5	0	5	1	1
PPP1R16A	515	417	481	303	419	398
FOXH1	7	4	6	7	4	8
ORAI2	888	938	1076	487	1027	765
ALKBH4	271	253	253	167	243	251
CCDC105	1	3	0	0	0	1
SH2B2	30	45	34	16	37	33
MRNIP	270	219	138	190	186	267
SQSTM1	12367	17306	17574	6351	18592	9305
MGAT4B	4032	3793	3602	2060	3925	3124
RPL8	18113	17231	18397	8402	16062	13223
MAML1	1626	1158	1226	812	1334	1307
PGLYRP2	0	1	0	0	0	0
LRWD1	588	540	474	312	600	469
FBXL13	143	114	87	73	129	111
NAPEPLD	221	96	90	101	134	146
SCGB3A1	0	0	0	1	0	0
PSMC2	4258	3367	3229	2086	3815	2714
CELF5	2	4	3	1	4	6
MFSD12	7741	5768	5711	4172	6689	6702
USP41	25	17	14	5	16	11
TUBA3FP	20	7	16	10	15	14
YDJC	480	467	453	223	522	346
CCDC116	6	7	1	7	3	0
DVL3	1576	1396	1379	817	1528	1242
AP2M1	7999	8006	7414	4274	8765	6063
ABCF3	1066	1086	1088	573	1006	818
PCYT1A	1639	1631	1765	848	2144	1101
FBXO27	28	13	8	15	15	23
DMKN	1	9	3	3	2	0
U2AF1L4	139	80	62	86	98	91
BDH1	164	135	151	96	130	123
NPHS1	0	3	2	1	0	1
THAP8	80	40	52	42	55	59
COX7A1	1	3	0	7	3	7
ZNF382	3	4	2	1	4	1
LRRC56	33	26	18	28	13	20
PLXDC1	37	17	8	20	15	38
PGAP3	213	164	111	112	158	165
IKZF3	1	4	2	0	2	0
GRIN2C	4	5	5	1	6	5
FDXR	497	271	313	275	302	399
SAP30BP	1882	1541	1638	1007	1758	1329
ACOX1	1257	943	817	643	1088	925
PRPSAP1	608	451	415	300	479	410
CYGB	3	0	0	2	0	2
SRSF2	3509	2962	2844	1804	3742	2353
ZNF577	3	8	0	1	0	1
TMEM143	166	93	85	72	119	109
KLHL10	8	5	2	12	5	11
KASH5	1	7	0	0	0	0
HCRT	1	3	0	0	1	1
ALDH16A1	717	475	506	431	499	623
DCD	0	0	1	0	0	0
ITGA5	13596	9004	9330	6766	10732	9936
SIGLEC11	2	2	0	0	0	1
ZNF385A	165	44	58	82	66	142
SIGLEC16	3	4	1	5	0	5
MPP3	232	237	180	113	206	208
CD300LG	1	6	0	0	0	1
IZUMO2	0	0	0	0	0	0
NAGS	118	73	61	48	75	83
LSM12	337	220	302	171	315	211
ASB16	46	34	27	23	25	46
EMC10	2793	1810	2001	1472	2165	2073
JOSD2	235	129	151	141	172	177
SHANK1	0	2	0	0	0	0
FAM171A2	70	44	42	49	58	64
DBF4B	1133	974	954	612	1161	857
PLCD3	3673	3387	3551	2043	3882	2957
FMNL3	346	239	202	153	228	263
AQP5	7	4	2	2	5	9
RACGAP1	3370	3019	2929	1642	3552	2297
OR7G1	0	1	0	0	0	0
LARP4	2228	1509	1843	1099	1977	1420
TAMALIN	8	1	5	1	2	6
RAVER1	503	364	456	214	443	412
KRT84	0	3	0	1	0	3
KRT82	0	1	0	0	1	0
SYCE2	10	6	11	11	6	8
SPC24	1658	1490	1531	992	1656	1326
IP6K3	2	6	1	1	7	2
LEMD2	1649	1283	1344	887	1253	1235
ALOX15	1	2	0	0	1	0
TREML1	2	2	0	0	0	0
ADCY10P1	22	27	11	22	24	26
ZNF653	112	99	79	55	80	90
MED11	306	254	219	178	294	237
CXCL16	556	250	254	287	318	443
SCIMP	9	7	6	4	1	0
RNASEK-C17orf49	0	0	0	0	0	1
BCL6B	5	4	1	1	2	2
ASGR2	0	2	0	0	0	0
TNFSF13	124	77	88	75	108	106
SENP3	741	693	890	453	792	609
FGF11	6	5	3	6	4	8
EIF4A1	363	190	171	173	193	228
RPL26	5925	5084	4966	2864	5983	3998
CCDC42	0	0	0	0	0	0
POLR3K	297	304	246	149	291	212
SNRNP25	1429	1253	1180	735	1240	1106
PRR35	2	1	0	1	0	2
WDR90	1457	1047	920	683	1097	1172
JMJD8	669	522	499	347	533	538
CCDC78	129	110	93	71	90	104
MSLNL	44	28	24	28	18	41
SSTR5	0	2	0	0	0	0
SPSB3	28	24	22	19	17	26
MEIOB	1	1	0	1	0	4
HS3ST6	0	0	1	0	0	0
TEDC2	671	507	496	398	518	580
CCNF	1463	1264	1272	780	1435	1188
TBC1D24	620	434	486	370	588	527
AMDHD2	542	438	465	283	420	488
NTN3	87	47	35	44	37	85
BICDL2	8	12	7	4	9	14
PAQR4	752	552	587	373	686	584
FLYWCH2	544	312	400	253	374	391
ZG16B	18	12	15	10	13	13
ZNF75A	411	222	243	235	300	286
ADCY9	3473	2559	2583	1649	3009	2633
SHANK2	3	15	0	0	0	3
CLPB	2027	1763	1826	943	2129	1420
NEU3	632	550	592	309	638	468
CYB561A3	697	569	543	394	656	576
PPP1R32	4	3	8	2	6	3
ASRGL1	126	81	105	65	84	80
GNG3	8	3	3	7	2	6
UBXN1	2156	1808	2037	1247	1800	1768
LBHD1	89	71	67	54	60	89
TTC9C	1315	1056	1006	671	1218	880
TAF6L	350	291	267	189	317	277
NXF1	1201	886	782	602	1051	996
STX5	1042	662	631	499	785	817
SLC25A45	440	190	179	228	201	305
RPL29	5891	5124	4917	2886	5498	4315
ITIH3	0	2	0	0	0	0
SYVN1	865	622	633	443	732	760
ZFPL1	202	134	150	112	148	164
RPS6KA4	2013	1861	2064	1157	1857	1594
LRP5	2363	2146	2056	1167	2141	1858
TPCN2	543	409	389	275	451	424
FGF19	3	2	0	3	0	3
CYP4A22	0	2	0	0	0	2
PDZK1IP1	6	1	3	1	4	3
TAL1	0	5	1	0	0	0
CMPK1	3639	2145	2317	1874	2875	2400
BEND5	7	1	0	4	1	8
ELAVL4	0	2	0	0	0	0
COA7	925	814	841	459	856	665
ZYG11B	1549	942	895	743	1159	1004
SLC1A7	1	4	1	0	0	0
CZIB	694	468	462	332	547	509
MAGOH	643	613	621	327	645	457
ACOT11	75	66	43	33	51	57
FAM151A	3	4	2	5	2	4
PARS2	223	160	152	111	181	177
LEXM	2	3	0	1	0	3
BSND	7	7	0	2	2	5
USP24	3142	2338	2283	1538	2916	2228
PLPP3	316	182	172	148	201	235
NOL9	1395	1263	1272	672	1507	1006
PRKAA2	922	523	500	501	720	661
KLHL21	1609	1484	1430	796	1537	1282
ZSWIM5	220	139	133	110	179	159
GMEB1	674	370	408	314	407	423
SLC45A1	0	6	0	1	1	0
SELENON	699	375	347	299	451	513
AK4	1005	544	595	517	692	624
JAK1	5622	3283	3021	2781	3850	3698
RAVER2	898	598	555	428	769	564
CTRC	0	3	0	0	0	1
LZIC	917	592	649	437	749	569
RBP7	7	4	0	2	3	0
KNCN	0	8	0	1	0	0
FBLIM1	515	484	540	273	564	429
TMEM82	0	4	0	0	1	1
SLC25A34	22	12	5	5	14	11
AKR7A3	5	5	4	5	4	5
DRAXIN	3	8	2	0	1	3
PDPN	0	2	0	0	0	0
LRRC38	0	0	0	0	1	0
DHRS3	953	530	544	451	678	688
MATN1	3	3	0	3	0	6
LAPTM5	1	6	5	3	1	4
SDC3	819	516	656	377	666	638
PEF1	1231	949	947	698	1282	909
SYNC	967	740	902	514	849	759
RBBP4	3075	2148	2126	1487	2389	2255
KIAA1522	2945	1477	1792	1412	1855	2309
TSSK3	13	2	0	4	4	7
TMCO4	587	445	410	265	409	434
UBXN10	0	3	0	1	0	0
CAMK2N1	11	17	13	11	12	13
ALPL	139	127	93	101	109	97
WNT4	42	20	19	24	28	34
TTLL10	0	0	0	0	0	0
SCNN1D	87	40	29	36	38	72
MXRA8	142	121	123	85	139	118
FAAP20	366	229	243	225	285	295
MEGF6	2527	1490	1336	1362	1386	2101
CCDC27	0	6	0	0	0	0
IL23R	0	0	0	0	0	0
DIRAS3	80	33	32	38	35	55
C1orf87	0	0	0	0	0	0
NFIA	1145	618	647	595	914	771
OMA1	231	144	155	115	198	167
MYSM1	379	202	220	203	294	256
TM2D1	416	273	290	231	355	278
USP1	5541	3021	3590	2832	4045	3399
FUBP1	5123	3491	3878	2662	4443	3637
NEXN	297	188	323	161	275	207
DNAJB4	3372	2350	2712	1877	3155	2083
ADGRL4	40	37	21	19	26	16
LRRIQ3	18	16	15	10	21	13
LRRC53	0	2	0	2	0	0
TYW3	1117	756	761	563	986	762
LHX8	0	1	1	0	0	0
SNX7	1644	893	954	826	1130	1012
B3GALT2	23	12	6	11	14	13
NTNG1	218	65	77	111	76	147
FAM102B	3135	1933	2066	1602	2464	2131
HENMT1	559	381	340	296	487	407
AKNAD1	2	3	2	3	2	4
C1orf52	692	585	519	307	629	437
DNAI3	7	8	5	1	2	2
GBP2	6015	2517	2598	3148	3342	4237
ATXN7L2	234	161	186	124	195	190
GBP4	4016	1077	1076	2088	1445	2765
ZNF326	512	304	339	266	373	348
HFM1	1	6	1	1	1	2
BRINP3	1	2	0	0	0	0
GFI1	8	5	2	5	2	3
LSP1P3	0	0	0	0	0	0
KCNT2	544	198	199	291	248	409
AGL	982	598	600	550	680	691
VCAM1	0	4	1	0	0	0
EXTL2	1246	741	760	618	954	811
SLC30A7	2679	1483	1473	1428	1934	1689
DNAJA1P5	0	0	0	0	0	0
ZNF281	2301	1285	1373	1077	1522	1376
ARPC5	9088	6116	6939	4868	6593	5867
CADM3	0	1	0	0	1	0
NLRP3	0	4	0	0	0	0
ZNF496	1370	979	1075	654	1147	989
TRIM58	2	0	0	0	0	0
SLAMF9	1	1	1	0	0	0
OR2M5	0	1	0	0	0	0
KCNJ9	4	2	2	2	0	0
IGSF8	1035	804	820	556	946	874
DDR2	26	42	38	15	36	18
PEA15	2066	1662	1743	1139	2066	1575
PEX19	1463	957	1017	792	1398	1015
NCSTN	3692	2244	2295	1854	3069	2708
VANGL2	1	1	0	0	0	1
SLAMF6	0	2	0	0	0	0
OLFML2B	116	36	31	40	26	76
FCRLB	14	4	8	6	7	9
FCGR3B	0	1	0	0	0	0
SLC9C2	1	5	0	1	1	0
KLHDC9	51	35	28	12	35	46
C1orf74	149	126	91	90	162	112
LMX1A	0	3	0	0	0	1
LRRC52	0	3	0	0	0	0
FLVCR1	1079	851	846	548	987	773
FAM71A	1	0	0	0	0	0
ATF3	573	243	275	283	339	401
RBM15	2011	1261	1222	953	1326	1355
DENND2D	292	182	184	173	238	219
AXDND1	6	4	2	2	9	5
TDRD5	1	1	0	0	0	0
IER5	2228	1282	1437	1206	1287	1562
SNED1	165	38	22	82	19	121
BPNT1	992	699	778	583	936	755
SPATA17	14	11	13	13	17	8
C1orf115	123	104	98	64	83	101
BROX	3089	1771	2061	1578	2489	2050
NBPF20	48	28	32	21	36	27
ACP6	262	179	172	148	230	189
MT2P1	721	366	303	331	438	526
WDR64	4	4	2	2	3	5
KIF26B	20	8	9	2	7	13
TFB2M	469	401	387	268	467	325
CNST	881	668	655	423	801	564
PPP1R21	254	154	166	136	134	157
KLHDC8A	0	6	0	0	0	3
PM20D1	1	1	0	0	0	0
PKDCC	234	196	227	124	203	177
OXER1	2	1	0	2	0	2
HAAO	4	2	2	1	1	2
B3GALNT2	563	517	544	299	657	426
C1orf147	25	15	3	10	15	13
MAPKAPK2	1642	1136	1149	863	1384	1272
IL20	0	2	0	0	2	3
IL24	48	16	7	23	17	25
FCMR	38	40	67	23	65	37
PIGR	0	3	0	1	0	2
FCAMR	0	4	0	0	0	0
CAPN2	6690	5676	5698	3554	6518	4699
MRPL55	952	875	864	540	964	808
OBSCN-AS1	78	39	26	46	42	58
WDR26	1644	981	977	852	1147	1164
REL	708	335	394	359	477	495
PUS10	182	107	104	108	131	105
PEX13	1136	648	646	569	802	721
KIAA1841	380	205	201	189	243	275
TRIM17	59	49	38	19	39	58
RFTN2	8	5	6	10	5	12
DISC1	147	97	79	67	95	89
LINC01931	4	6	5	5	9	4
CAPN13	2	6	0	1	1	0
LRRTM1	2	3	0	2	0	0
MEMO1	41	20	39	28	37	30
DPY30	900	596	586	438	701	573
TYW5	496	315	273	254	366	316
MAIP1	692	605	525	363	665	471
KCNF1	0	3	0	0	0	0
SLC66A3	106	63	49	42	76	71
ARL5A	1155	670	665	619	926	736
LRATD1	0	4	0	0	0	2
KCNJ3	2	1	2	0	2	1
NEUROD1	0	1	0	0	0	0
CLHC1	54	54	43	21	45	37
PRORSD1P	31	8	18	12	17	24
FRZB	8	5	4	6	6	4
DUSP19	125	87	89	65	99	81
CFAP36	571	347	374	294	472	379
NUP35	593	423	387	296	582	341
CCDC138	467	335	371	259	407	280
ZSWIM2	2	15	7	3	10	1
FBXO41	481	359	338	245	385	420
ALMS1P1	15	5	1	7	5	8
ACTG2	776	230	212	354	243	525
WDCP	527	466	363	256	519	333
SMC6	1128	731	846	587	1050	754
VSNL1	8	7	3	3	9	11
CCDC74A	41	23	18	16	24	29
H3-3A	650	351	386	314	388	448
ANKRD30BL	0	1	0	0	0	0
COQ8A	845	531	504	435	644	661
SLC16A14	113	57	58	54	93	62
TEKT4	2	1	1	0	0	0
EN1	129	95	121	70	125	102
SGCB	943	611	617	495	663	638
SPATA18	1	4	0	2	1	2
NOSTRIN	88	72	75	69	80	75
CFAP221	0	8	1	0	1	0
CCDC140	0	2	1	0	0	0
SGPP2	11	10	8	5	6	9
INHBB	0	2	0	0	0	0
XIRP2	0	10	1	0	0	1
BBS5	18	10	20	9	8	6
