# Argument List:
# Name = demo
# peak file = Analysis/MAX_HeLa_S3_chip_seq.bed
# distance = 100000 bp
#chrom	txStart	txEnd	refseq	score	strand	symbol	rank
chr22	31281592	31292534	NM_001135911	0.428	-	PIK3IP1	7872
chr11	73400477	73598189	NM_015159	0.428	-	FAM168A	7873
chr11	73400477	73598189	NM_001286051	0.428	-	FAM168A	7874
chr11	73400477	73598189	NM_001286050	0.428	-	FAM168A	7875
chr6	44223625	44234151	NM_001078177	0.428	+	SLC29A1	7876
chr11	99556144	100358885	NM_175566	0.427	+	CNTN5	7877
chr15	42575658	42720998	NM_020759	0.427	+	STARD9	7878
chr17	74842022	74859884	NM_000835	0.427	-	GRIN2C	7879
chr17	74842022	74859884	NR_103735	0.427	-	GRIN2C	7880
chr10	100188366	100229587	NM_001278	0.427	-	CHUK	7881
chr7	73154923	73207296	NR_003580	0.427	+	LOC100093631	7882
chr8	144400276	144400345	NR_106908	0.427	-	MIR6849	7883
chr14	100993235	100993309	NR_003224	0.427	+	SNORD114-31	7884
chr7	73154928	73207296	NR_002206	0.427	+	GTF2IP1	7885
chr16	2274619	2274691	NR_039868	0.427	+	MIR4717	7886
chr16	89686667	89696364	NR_027702	0.427	+	CDK10	7887
chr16	89686667	89696364	NM_052988	0.427	+	CDK10	7888
chr16	89686667	89696364	NM_052987	0.427	+	CDK10	7889
chr16	89686667	89696364	NM_001160367	0.427	+	CDK10	7890
chr16	89686667	89696364	NR_027703	0.427	+	CDK10	7891
chr16	89686667	89696364	NM_001098533	0.427	+	CDK10	7892
chr17	30316347	30334047	NM_206832	0.427	-	TMIGD1	7893
chr2	198299362	198375097	NR_110267	0.427	-	LOC101927619	7894
chr1	153804726	153922975	NM_020699	0.427	-	GATAD2B	7895
chr3	14145147	14178672	NR_027299	0.427	-	XPC	7896
chr3	14145147	14178672	NM_004628	0.427	-	XPC	7897
chr5	64768917	65018763	NM_001297644	0.427	+	CWC27	7898
chr5	64768917	65018763	NM_005869	0.427	+	CWC27	7899
chr5	64768917	64808561	NM_001297645	0.427	+	CWC27	7900
chr15	82430782	82439386	NM_001291420	0.427	+	GOLGA6L9	7901
chr16	89948730	89959366	NM_001242821	0.427	+	DEF8	7902
chr16	89948730	89968060	NM_001242820	0.427	+	DEF8	7903
chr16	89948730	89968060	NM_001242818	0.427	+	DEF8	7904
chr16	89948730	89959366	NM_017702	0.427	+	DEF8	7905
chr16	89948730	89968060	NM_001242816	0.427	+	DEF8	7906
chr16	89948730	89968060	NM_001242817	0.427	+	DEF8	7907
chr16	89948730	89968060	NM_207514	0.427	+	DEF8	7908
chr16	89948730	89959366	NM_001242822	0.427	+	DEF8	7909
chr9	130902437	130938852	NM_032843	0.427	-	FIBCD1	7910
chr14	101025731	101025817	NR_029890	0.426	+	MIR323A	7911
chr20	2462951	2463047	NR_003684	0.426	-	SNORD119	7912
chr8	144400085	144400165	NR_031600	0.426	-	MIR1234	7913
chr19	6416409	6416511	NR_037505	0.426	-	MIR3940	7914
chr3	14178727	14198369	NM_014463	0.426	+	LSM3	7915
chr1	159171586	159203142	NM_021189	0.426	+	CADM3	7916
chr1	159171623	159203142	NM_001127173	0.426	+	CADM3	7917
chr1	17539834	17697875	NM_018125	0.426	+	ARHGEF10L	7918
chr17	40999192	40999886	NM_031959	0.426	-	KRTAP3-2	7919
chr16	68245343	68261058	NM_012320	0.426	+	PLA2G15	7920
chr15	79898839	79923754	NR_037653	0.426	-	ST20	7921
chr15	79898839	79923754	NR_037652	0.426	-	ST20	7922
chr16	28494648	28498970	NM_018690	0.426	+	APOBR	7923
chr1	205434885	205456086	NR_103783	0.426	-	BLACAT1	7924
chr5	74627405	74641424	NM_001256574	0.426	-	ENC1	7925
chr5	74627405	74641424	NM_001256576	0.426	-	ENC1	7926
chr5	74627405	74641424	NM_001256575	0.426	-	ENC1	7927
chr5	74627405	74641424	NR_046318	0.426	-	ENC1	7928
chr5	74627405	74641424	NM_003633	0.426	-	ENC1	7929
chr19	8364126	8374375	NM_139314	0.426	+	ANGPTL4	7930
chr19	8364126	8374375	NR_104213	0.426	+	ANGPTL4	7931
chr19	8364126	8374375	NM_001039667	0.426	+	ANGPTL4	7932
chr6	26383095	26394872	NM_001197238	0.426	+	BTN2A2	7933
chr6	26383100	26394872	NM_181531	0.425	+	BTN2A2	7934
chr6	26383100	26394872	NM_006995	0.425	+	BTN2A2	7935
chr6	26383100	26394872	NM_001197240	0.425	+	BTN2A2	7936
chr6	26383100	26394872	NM_001197239	0.425	+	BTN2A2	7937
chr14	60709537	60724134	NM_017420	0.425	-	SIX4	7938
chr12	57625894	57632681	NM_001276468	0.425	-	B4GALNT1	7939
chr15	78104605	78131535	NM_006383	0.425	-	CIB2	7940
chr15	78104605	78131535	NM_001271889	0.425	-	CIB2	7941
chr15	78104605	78131535	NM_001271888	0.425	-	CIB2	7942
chr15	78104605	78131535	NM_001301224	0.425	-	CIB2	7943
chr15	78104605	78131535	NR_125435	0.425	-	CIB2	7944
chr6	45422576	45551082	NM_001278478	0.425	+	RUNX2	7945
chr11	1554050	1571920	NM_004420	0.425	-	DUSP8	7946
chr9	136862668	136866336	NM_153200	0.425	-	EDF1	7947
chr9	136862113	136866336	NM_001281299	0.425	-	EDF1	7948
chr9	136862113	136866336	NM_001281298	0.425	-	EDF1	7949
chr9	136862113	136866336	NM_001281297	0.425	-	EDF1	7950
chr9	136862113	136866336	NM_003792	0.425	-	EDF1	7951
chr10	24583608	24723668	NM_020824	0.425	-	ARHGAP21	7952
chr15	41660411	41769943	NM_001164273	0.425	+	MGA	7953
chr15	41660411	41769943	NM_001080541	0.425	+	MGA	7954
chr16	56565048	56568957	NM_032935	0.425	+	MT4	7955
chr17	7577954	7578091	NR_002912	0.425	+	SNORA67	7956
chr12	123384156	123409353	NM_020382	0.425	+	SETD8	7957
chr6	27824124	27824480	NM_021968	0.424	+	HIST1H4J	7958
chr15	67200674	67254736	NM_001271886	0.424	-	AAGAB	7959
chr15	67200674	67254736	NM_024666	0.424	-	AAGAB	7960
chr19	49527617	49543633	NM_020650	0.424	+	RCN3	7961
chr3	126103560	126180802	NM_012190	0.424	-	ALDH1L1	7962
chr3	126103560	126180802	NR_072979	0.424	-	ALDH1L1	7963
chr3	126103560	126180802	NM_001270365	0.424	-	ALDH1L1	7964
chr1	35268966	35421944	NM_005095	0.424	+	ZMYM4	7965
chr19	38770967	38773517	NM_002307	0.424	-	LGALS7	7966
chr15	67254799	67501804	NM_001284347	0.424	+	IQCH	7967
chr15	67254799	67374166	NM_001284349	0.424	+	IQCH	7968
chr15	67254799	67501804	NM_001284348	0.424	+	IQCH	7969
chr15	67254799	67501804	NM_001031715	0.424	+	IQCH	7970
chr15	67254799	67307223	NM_022784	0.424	+	IQCH	7971
chr3	57060440	57075432	NM_181727	0.424	+	SPATA12	7972
chr6	26383210	26394872	NM_001197237	0.424	+	BTN2A2	7973
chr12	89419720	89525567	NM_001199777	0.423	-	POC1B	7974
chr12	89419720	89525567	NR_037660	0.423	-	POC1B	7975
chr13	48233137	48262096	NM_021999	0.423	+	ITM2B	7976
chr12	122835437	122857900	NM_001303097	0.423	+	HIP1R	7977
chr12	122835437	122862960	NM_003959	0.423	+	HIP1R	7978
chr16	89949419	89968060	NM_001242819	0.423	+	DEF8	7979
chr7	27170590	27174336	NM_018951	0.423	-	HOXA10	7980
chr12	92140277	92145897	NM_001731	0.423	-	BTG1	7981
chr1	201519903	201520592	NR_026667	0.423	+	RPS10P7	7982
chr9	136206336	136245841	NM_181701	0.423	-	QSOX2	7983
chr14	100991918	100991989	NR_003223	0.423	+	SNORD114-30	7984
chr11	60890547	60906589	NM_014502	0.423	-	PRPF19	7985
chr3	186147200	186362234	NM_001080744	0.423	-	DGKG	7986
chr3	186147200	186362234	NM_001346	0.423	-	DGKG	7987
chr3	186147200	186362234	NM_001080745	0.423	-	DGKG	7988
chr5	64718150	64768669	NM_173829	0.423	-	SREK1IP1	7989
chr1	916817	919692	NR_026874	0.423	-	LOC100130417	7990
chr1	916817	919692	NR_122045	0.423	-	LOC100130417	7991
chr7	107563956	107578523	NM_181581	0.423	+	DUS4L	7992
chr7	107563956	107578523	NM_001270419	0.423	+	DUS4L	7993
chr7	107563956	107578523	NR_073005	0.423	+	DUS4L	7994
chr7	107563956	107578523	NR_073004	0.423	+	DUS4L	7995
chr7	107563956	107578523	NR_073003	0.423	+	DUS4L	7996
chr7	107563956	107578523	NR_073002	0.423	+	DUS4L	7997
chr3	72996967	73065860	NM_174907	0.422	+	PPP4R2	7998
chr16	67199124	67204024	NM_024712	0.422	+	ELMO3	7999
chr19	55642096	55643470	NM_001163423	0.422	+	ZNF580	8000
chr17	73737853	73756557	NM_001278587	0.422	+	LOC100134391	8001
chr17	40748020	40755332	NM_181534	0.422	-	KRT25	8002
chr12	12611832	12645108	NM_001310	0.422	+	CREBL2	8003
chr1	25861483	25871253	NM_178422	0.422	-	PAQR7	8004
chr1	228007021	228061271	NM_033131	0.422	+	WNT3A	8005
chr5	1201594	1225115	NM_001003841	0.422	+	SLC6A19	8006
chr19	827830	832017	NM_001700	0.422	+	AZU1	8007
chrX	23703659	23743290	NM_001037171	0.422	-	ACOT9	8008
chrX	23703659	23743290	NM_001033583	0.422	-	ACOT9	8009
chr11	93478472	93543380	NM_020179	0.422	-	SMCO4	8010
chr16	67929569	67931875	NM_001907	0.422	-	CTRL	8011
chr17	2056309	2059687	NM_001098202	0.422	+	HIC1	8012
chr14	101026019	101026107	NR_030406	0.421	+	MIR758	8013
chr19	55642051	55643470	NM_016202	0.421	+	ZNF580	8014
chr6	37170145	37175428	NM_002648	0.421	+	PIM1	8015
chr6	37170145	37175428	NM_001243186	0.421	+	PIM1	8016
chr11	66002078	66004146	NM_001143985	0.421	+	BANF1	8017
chr11	66002078	66004146	NM_003860	0.421	+	BANF1	8018
chr7	130506238	130668758	NM_012133	0.421	-	COPG2	8019
chr7	130546787	130668758	NM_001290033	0.421	-	COPG2	8020
chr6	138435212	138435294	NR_036099	0.421	-	MIR3145	8021
chr13	48037566	48041502	NM_001304745	0.421	+	NUDT15	8022
chr13	48037566	48047222	NM_018283	0.421	+	NUDT15	8023
chr10	114431109	114684655	NM_001003408	0.421	-	ABLIM1	8024
chr10	114431109	114684655	NM_001003407	0.421	-	ABLIM1	8025
chr3	57889913	57930003	NM_001304422	0.421	+	SLMAP	8026
chr3	57889913	57930003	NM_001304423	0.421	+	SLMAP	8027
chr15	67200674	67255198	NM_001271885	0.421	-	AAGAB	8028
chr19	35888240	35900650	NM_139239	0.421	-	NFKBID	8029
chr12	109139396	109268225	NM_001093	0.421	+	ACACB	8030
chr5	176620208	176630556	NM_003085	0.421	-	SNCB	8031
chr5	176620208	176630556	NM_001001502	0.421	-	SNCB	8032
chr9	128702522	128720920	NM_013355	0.421	+	PKN3	8033
chr8	86098909	86154225	NM_152565	0.421	+	ATP6V0D2	8034
chr7	30548356	30577779	NR_038889	0.421	-	LOC401320	8035
chr16	56666734	56668065	NM_001301267	0.421	-	MT1G	8036
chr16	56666734	56668065	NM_005950	0.421	-	MT1G	8037
chr1	26410777	26429728	NM_024674	0.420	+	LIN28A	8038
chr9	128111170	128118734	NR_033374	0.420	-	SLC25A25-AS1	8039
chr17	46978155	46979248	NM_203400	0.420	-	RPRML	8040
chr8	27869881	27992852	NM_173833	0.420	-	SCARA5	8041
chr19	11394055	11419342	NM_001035223	0.420	-	RGL3	8042
chr19	11394055	11419342	NM_001161616	0.420	-	RGL3	8043
chr14	23415449	23417595	NR_126491	0.420	+	MHRT	8044
chr6	34757093	34773857	NM_003093	0.420	+	SNRPC	8045
chr6	34757093	34773857	NR_029472	0.420	+	SNRPC	8046
chr11	65996544	66002166	NM_001242481	0.420	-	EIF1AD	8047
chr11	65996544	66002166	NM_001242486	0.420	-	EIF1AD	8048
chr11	65996544	66002166	NM_032325	0.420	-	EIF1AD	8049
chr11	65996544	66002166	NM_001242485	0.420	-	EIF1AD	8050
chr11	65996544	66002166	NM_001242484	0.420	-	EIF1AD	8051
chr11	65996544	66002166	NM_001242483	0.420	-	EIF1AD	8052
chr11	65996544	66002166	NM_001242482	0.420	-	EIF1AD	8053
chr1	23929069	23929147	NR_039615	0.420	+	MIR378F	8054
chr17	45600102	45601862	NR_026901	0.420	-	LOC644172	8055
chr10	62811995	62816366	NM_001136179	0.420	-	EGR2	8056
chr10	62811995	62816366	NM_000399	0.420	-	EGR2	8057
chr10	62811995	62816366	NM_001136177	0.420	-	EGR2	8058
chr12	53750446	53751835	NR_104333	0.420	-	CISTR	8059
chr7	100429630	100434126	NM_019606	0.420	+	MEPCE	8060
chr5	134506551	134509230	NR_105045	0.419	+	LOC101927934	8061
chr1	205086141	205122022	NM_001193273	0.419	-	RBBP5	8062
chr1	205086141	205122022	NM_001193272	0.419	-	RBBP5	8063
chr1	205086141	205122022	NM_005057	0.419	-	RBBP5	8064
chr15	95433092	95507847	NR_027133	0.419	+	LINC00924	8065
chr15	95433092	95507847	NR_027132	0.419	+	LINC00924	8066
chr13	43448851	43459488	NR_120399	0.419	+	ENOX1-AS2	8067
chr17	61679185	61863559	NM_032043	0.419	-	BRIP1	8068
chr1	19975430	19980439	NM_001161728	0.419	-	PLA2G2A	8069
chr1	19975430	19980439	NM_001161727	0.419	-	PLA2G2A	8070
chr1	19975430	19980439	NM_000300	0.419	-	PLA2G2A	8071
chr10	35605409	35608935	NM_153368	0.419	+	GJD4	8072
chr20	50184602	50192069	NR_125739	0.419	-	CEBPB-AS1	8073
chr1	16014027	16018790	NM_014424	0.419	-	HSPB7	8074
chr15	41417103	41483563	NM_015138	0.419	+	RTF1	8075
chr15	44728987	44732851	NR_125376	0.419	+	LOC100419583	8076
chr11	10573090	10693574	NM_001100167	0.419	-	MRVI1	8077
chr5	176630681	176646641	NM_001099408	0.419	+	EIF4E1B	8078
chr2	46429189	46441833	NR_103805	0.419	+	LOC101805491	8079
chr15	79898839	79923322	NM_001199757	0.418	-	ST20	8080
chr15	79898839	79923322	NM_001100880	0.418	-	ST20	8081
chr3	151565875	151565995	NR_049818	0.418	-	MIR5186	8082
chr3	39407619	39412541	NM_001012321	0.418	+	RPSA	8083
chr11	59574397	59616144	NM_002556	0.418	-	OSBP	8084
chr19	7497558	7508450	NM_198534	0.418	+	C19orf45	8085
chr13	39342891	39603219	NM_005780	0.418	-	LHFP	8086
chr1	212301805	212361863	NM_001199756	0.418	+	PPP2R5A	8087
chr6	31827734	31830254	NM_005346	0.418	+	HSPA1B	8088
chr9	97307627	97377295	NM_020893	0.418	+	CCDC180	8089
chr1	154405192	154438085	NM_001206866	0.418	+	IL6R	8090
chr1	154405192	154469450	NM_181359	0.418	+	IL6R	8091
chr1	154405192	154469450	NM_000565	0.418	+	IL6R	8092
chr17	42288055	42311942	NM_001288719	0.418	+	STAT5A	8093
chr17	42288055	42311942	NM_001288720	0.418	+	STAT5A	8094
chr5	58969040	59768612	NM_001197218	0.417	-	PDE4D	8095
chr6	52791379	52803866	NM_145740	0.417	-	GSTA1	8096
chr6	108986436	109094505	NM_014454	0.417	-	SESN1	8097
chr11	18531402	18588746	NM_001261382	0.417	-	UEVLD	8098
chr11	18531402	18588746	NM_001261384	0.417	-	UEVLD	8099
chr11	18531402	18588746	NM_001261386	0.417	-	UEVLD	8100
chr11	18531402	18588746	NM_018314	0.417	-	UEVLD	8101
chr11	18531402	18588746	NM_001261383	0.417	-	UEVLD	8102
chr11	18531402	18588746	NM_001040697	0.417	-	UEVLD	8103
chr11	18563649	18588746	NM_001297771	0.417	-	UEVLD	8104
chr20	34280264	34303409	NM_000687	0.417	-	AHCY	8105
chr12	52393950	52406392	NM_033033	0.417	-	KRT82	8106
chr16	66427296	66482842	NM_001136106	0.417	+	BEAN1	8107
chr16	66427296	66493529	NM_001197225	0.417	+	BEAN1	8108
chr16	66427296	66493529	NM_001197224	0.417	+	BEAN1	8109
chr16	66427296	66482842	NM_001178020	0.417	+	BEAN1	8110
chr12	54292106	54295779	NM_006163	0.417	-	NFE2	8111
chr8	96142329	96160792	NM_001001557	0.417	-	GDF6	8112
chr11	58402464	58403409	NM_001005469	0.416	-	OR5B3	8113
chr2	202206179	202238599	NM_003352	0.416	-	SUMO1	8114
chr2	202206179	202238599	NM_001005782	0.416	-	SUMO1	8115
chr2	202206179	202238599	NM_001005781	0.416	-	SUMO1	8116
chr12	57625894	57633239	NM_001478	0.416	-	B4GALNT1	8117
chr12	57629330	57633239	NM_001276469	0.416	-	B4GALNT1	8118
chr3	45823317	45842158	NR_075080	0.416	-	LZTFL1	8119
chr3	45823317	45842158	NM_020347	0.416	-	LZTFL1	8120
chr15	75258557	75273455	NM_001164404	0.416	+	GOLGA6C	8121
chr13	45120495	45284104	NM_004128	0.416	+	GTF2F2	8122
chr19	16863273	16880353	NM_001297597	0.416	+	SIN3B	8123
chr15	55355222	55498584	NR_037923	0.416	-	DYX1C1-CCPG1	8124
chr2	33513874	33564731	NM_015376	0.416	+	RASGRP3	8125
chr6	31658297	31660772	NM_021184	0.415	-	C6orf47	8126
chr17	42287866	42311942	NM_001288718	0.415	+	STAT5A	8127
chr5	141222325	141226288	NM_018934	0.415	+	PCDHB14	8128
chr2	26190634	26244726	NM_000182	0.415	-	HADHA	8129
chr2	74958647	74969732	NM_019896	0.415	+	POLE4	8130
chr16	21258517	21303136	NM_001888	0.415	-	CRYM	8131
chr5	179060605	179080690	NM_014594	0.415	+	ZNF354C	8132
chr10	124619293	124744361	NM_014661	0.415	-	FAM53B	8133
chr14	21016762	21070872	NM_001282211	0.415	-	NDRG2	8134
chr15	79843546	79923106	NM_001199760	0.415	-	ST20-MTHFS	8135
chr1	205302062	205321791	NM_030952	0.415	-	NUAK2	8136
chr3	9192492	9194453	NR_121663	0.415	+	LOC101927416	8137
chr3	9192492	9194453	NR_121664	0.415	+	LOC101927416	8138
chr17	15229776	15262589	NM_001281455	0.415	-	PMP22	8139
chr17	15229776	15262589	NM_153321	0.415	-	PMP22	8140
chr2	26244747	26290465	NM_000183	0.415	+	HADHB	8141
chr2	26244747	26290465	NM_001281513	0.415	+	HADHB	8142
chr2	26244747	26290465	NM_001281512	0.415	+	HADHB	8143
chr8	134477787	134696558	NM_001174158	0.415	-	ZFAT	8144
chr8	134477787	134696558	NM_001167583	0.415	-	ZFAT	8145
chr8	134477787	134696558	NM_001029939	0.415	-	ZFAT	8146
chr12	104215778	104350307	NM_001093771	0.414	+	TXNRD1	8147
chr14	100065413	100144236	NM_016337	0.414	+	EVL	8148
chr16	19417695	19499112	NM_001261841	0.414	+	TMC5	8149
chr12	3077354	3286564	NM_006675	0.414	+	TSPAN9	8150
chr12	3077354	3286564	NM_001168320	0.414	+	TSPAN9	8151
chr1	234629310	234634780	NR_033927	0.414	+	LINC00184	8152
chr19	48933681	48944969	NM_014475	0.414	+	DHDH	8153
chr6	24171754	24383292	NM_001195610	0.414	-	DCDC2	8154
chr11	10573090	10693988	NM_001100163	0.414	-	MRVI1	8155
chr11	10573090	10693988	NM_130385	0.414	-	MRVI1	8156
chr11	10573090	10693988	NM_001206881	0.414	-	MRVI1	8157
chr11	10573090	10693988	NM_001206880	0.414	-	MRVI1	8158
chr19	685545	695461	NM_214710	0.413	-	PRSS57	8159
chr16	1088225	1096244	NM_207419	0.413	-	C1QTNF8	8160
chr15	82429979	82439386	NM_198181	0.413	+	GOLGA6L9	8161
chr17	17811348	17837011	NM_004176	0.413	-	SREBF1	8162
chr17	17811348	17837011	NM_001005291	0.413	-	SREBF1	8163
chr14	36516398	36520225	NM_001079668	0.413	-	NKX2-1	8164
chr19	15949007	15949958	NM_001004465	0.413	+	OR10H4	8165
chr11	34478794	34513800	NM_001422	0.413	-	ELF5	8166
chr11	34478794	34513800	NM_001243080	0.413	-	ELF5	8167
chr8	89933335	89984671	NM_002485	0.412	-	NBN	8168
chr1	156591765	156594299	NM_144772	0.412	+	APOA1BP	8169
chr12	122834714	122857900	NM_001303099	0.412	+	HIP1R	8170
chr5	141426285	141428258	NR_001297	0.412	+	PCDHGB8P	8171
chr16	75204095	75207174	NM_001025200	0.412	-	CTRB2	8172
chr1	205336064	205357000	NM_018203	0.412	-	KLHDC8A	8173
chr3	52198082	52214327	NM_000688	0.412	+	ALAS1	8174
chr3	52198082	52214327	NM_199166	0.412	+	ALAS1	8175
chr3	52198082	52214327	NM_001304443	0.412	+	ALAS1	8176
chr3	52198082	52214327	NM_001304444	0.412	+	ALAS1	8177
chr12	120341329	120369180	NM_002442	0.412	-	MSI1	8178
chr12	124993647	125025803	NM_080626	0.412	+	BRI3BP	8179
chr17	42287546	42311942	NM_003152	0.412	+	STAT5A	8180
chrX	40623565	40624139	NM_001195522	0.412	+	MPC1L	8181
chr3	126180064	126210168	NR_046383	0.412	+	ALDH1L1-AS2	8182
chr2	27217389	27243786	NM_004341	0.411	+	CAD	8183
chr3	57571362	57597488	NM_001660	0.411	-	ARF4	8184
chr6	42206800	42217895	NM_018141	0.411	-	MRPS10	8185
chr5	77958246	77959096	NR_105013	0.411	+	LOC101929154	8186
chr5	159263080	159286040	NM_145049	0.411	+	UBLCP1	8187
chr5	149771939	149855022	NM_001172699	0.411	+	PPARGC1B	8188
chr2	46916128	47076136	NM_001288953	0.411	+	TTC7A	8189
chr3	23810442	23891640	NM_001202476	0.411	+	UBE2E1	8190
chr12	89519412	89524806	NM_003774	0.411	-	GALNT4	8191
chr12	124777627	124863973	NM_001082959	0.411	-	SCARB1	8192
chr12	124777627	124863973	NM_005505	0.411	-	SCARB1	8193
chr7	7636943	7718607	NM_002947	0.411	-	RPA3	8194
chr1	205336064	205357090	NM_001271865	0.411	-	KLHDC8A	8195
chr1	205336064	205357090	NM_001271864	0.411	-	KLHDC8A	8196
chr1	205336064	205357090	NM_001271863	0.411	-	KLHDC8A	8197
chr7	117363221	117427523	NM_130768	0.411	-	ASZ1	8198
chr7	117363221	117427523	NM_001301822	0.411	-	ASZ1	8199
chr7	117363221	117427523	NM_001301821	0.411	-	ASZ1	8200
chr2	46901869	46916112	NM_001171510	0.411	-	MCFD2	8201
chr2	46901869	46916112	NM_001171507	0.411	-	MCFD2	8202
chr14	50007312	50039884	NR_102736	0.410	-	LOC100506499	8203
chr8	144317245	144317315	NR_106907	0.410	-	MIR6848	8204
chr11	124029622	124030558	NM_001004464	0.410	+	OR10G8	8205
chr19	37078479	37129749	NM_144689	0.410	+	ZNF420	8206
chr7	100015571	100041689	NM_001287054	0.410	+	ZKSCAN1	8207
chr7	100015571	100041689	NM_003439	0.410	+	ZKSCAN1	8208
chr7	100015571	100041689	NM_001287055	0.410	+	ZKSCAN1	8209
chr14	23568034	23578800	NM_032452	0.410	-	JPH4	8210
chr14	23568034	23578800	NM_001146028	0.410	-	JPH4	8211
chr1	155277426	155288707	NR_073074	0.410	+	HCN3	8212
chr1	155277426	155289848	NM_020897	0.410	+	HCN3	8213
chr1	32251238	32286167	NM_005356	0.410	+	LCK	8214
chr3	50191609	50197696	NM_144499	0.410	+	GNAT1	8215
chr3	50191609	50197696	NM_000172	0.410	+	GNAT1	8216
chr8	103398637	103415335	NM_030780	0.410	-	SLC25A32	8217
chr8	103398637	103415335	NR_102338	0.410	-	SLC25A32	8218
chr8	103398637	103415335	NR_102337	0.410	-	SLC25A32	8219
chr11	8106049	8169043	NM_024557	0.410	-	RIC3	8220
chr11	8106049	8169043	NR_045405	0.410	-	RIC3	8221
chr11	8106049	8169043	NM_001206672	0.410	-	RIC3	8222
chr11	8106049	8169043	NM_001206671	0.410	-	RIC3	8223
chr11	8106049	8169043	NM_001135109	0.410	-	RIC3	8224
chr1	200342543	200373792	NR_040064	0.410	-	LINC00862	8225
chr3	170037946	170085395	NM_014373	0.410	+	GPR160	8226
chr3	48517683	48556794	NM_004567	0.410	-	PFKFB4	8227
chr8	144394148	144394230	NR_030635	0.410	-	MIR939	8228
chr5	168768145	168768255	NR_029632	0.410	-	MIR218-2	8229
chr15	79922770	79924854	NR_028330	0.409	+	ST20-AS1	8230
chr19	56176019	56185775	NM_033106	0.409	+	GALP	8231
chr19	56176019	56185775	NM_001145546	0.409	+	GALP	8232
chrX	24054947	24078811	NM_001415	0.409	+	EIF2S3	8233
chr1	159780968	159782543	NM_017823	0.409	+	DUSP23	8234
chr12	6951270	6961316	NM_002831	0.409	+	PTPN6	8235
chr12	6951270	6961316	NM_080549	0.409	+	PTPN6	8236
chr3	46979682	47009704	NM_015175	0.409	+	NBEAL2	8237
chr1	23791155	23795539	NM_007260	0.409	+	LYPLA2	8238
chr19	55641025	55643470	NM_207115	0.409	+	ZNF580	8239
chr13	28703701	28703807	NR_046928	0.409	-	RNU6-53P	8240
chr14	101026784	101026864	NR_029967	0.409	+	MIR329-1	8241
chr17	49248242	49258665	NR_034161	0.409	+	FLJ40194	8242
chr7	23299320	23309561	NM_138446	0.409	+	MALSU1	8243
chr16	30896606	30903560	NM_001142544	0.409	+	CTF1	8244
chr16	30896606	30903560	NM_001330	0.409	+	CTF1	8245
chr12	54292106	54301037	NM_001261461	0.409	-	NFE2	8246
chr12	54292106	54301037	NM_001136023	0.409	-	NFE2	8247
chr14	93718297	93788420	NM_178013	0.408	-	PRIMA1	8248
chr8	144522376	144527032	NM_001024678	0.408	-	LRRC24	8249
chr20	50190582	50192691	NM_005194	0.408	+	CEBPB	8250
chr20	50190582	50192691	NM_001285878	0.408	+	CEBPB	8251
chr20	50190582	50192691	NM_001285879	0.408	+	CEBPB	8252
chr16	2998954	3000813	NR_110947	0.408	+	LOC101929613	8253
chr16	2998954	3000813	NR_110948	0.408	+	LOC101929613	8254
chr16	2998954	3000813	NR_110949	0.408	+	LOC101929613	8255
chr3	13476987	13480053	NR_046690	0.408	-	HDAC11-AS1	8256
chr2	224378697	224401994	NM_001122779	0.408	-	FAM124B	8257
chr2	224378697	224401994	NM_024785	0.408	-	FAM124B	8258
chr17	48575506	48578381	NM_024015	0.408	-	HOXB4	8259
chr5	54660157	54744258	NR_104658	0.408	-	LOC102467080	8260
chr6	31897784	31945674	NM_001282457	0.408	+	C2	8261
chr20	32237794	32237847	NR_031726	0.407	+	MIR1825	8262
chr17	41930622	41965650	NR_110662	0.407	+	TTC25	8263
chr17	41930622	41965650	NM_031421	0.407	+	TTC25	8264
chr9	137224634	137226311	NM_199001	0.407	+	CYSRT1	8265
chr3	112086334	112118197	NM_024616	0.407	+	C3orf52	8266
chr3	112086334	112118226	NM_001171747	0.407	+	C3orf52	8267
chr5	151100705	151141655	NM_001193544	0.407	-	ANXA6	8268
chr22	20114685	20114751	NR_106874	0.407	-	MIR6816	8269
chr3	13480214	13506424	NM_024827	0.407	+	HDAC11	8270
chr6	125956714	125980243	NM_138571	0.407	+	HINT3	8271
chr12	111034023	111350556	NM_015267	0.407	+	CUX2	8272
chr17	27631147	27649560	NM_009587	0.407	+	LGALS9	8273
chr17	27631147	27649560	NM_002308	0.407	+	LGALS9	8274
chr17	27631147	27649560	NR_024043	0.407	+	LGALS9	8275
chr22	30661457	30667890	NM_152511	0.407	-	DUSP18	8276
chr22	30661457	30667890	NM_001304796	0.407	-	DUSP18	8277
chr22	30661457	30667890	NM_001304794	0.407	-	DUSP18	8278
chr22	30652050	30667890	NM_001304795	0.407	-	DUSP18	8279
chr2	46901869	46915868	NM_139279	0.407	-	MCFD2	8280
chr2	46901869	46915868	NM_001171509	0.407	-	MCFD2	8281
chr2	46901869	46915868	NM_001171506	0.407	-	MCFD2	8282
chr6	31879759	31897707	NM_025256	0.406	-	EHMT2	8283
chr6	31879759	31897707	NM_006709	0.406	-	EHMT2	8284
chr9	123379653	123930138	NM_020946	0.406	-	DENND1A	8285
chr9	123401590	123930138	NM_024820	0.406	-	DENND1A	8286
